Red,Blue,Yellow,Distance,Result,Expected
48.04,7.84,7.84,2.20,0,1
48.04,6.86,6.86,2.20,0,1
49.02,7.84,7.84,2.20,0,1
47.06,6.86,6.86,2.20,0,1
48.04,6.86,6.86,2.20,0,1
47.06,6.86,6.86,2.20,0,1
46.08,5.88,5.88,2.20,0,1
46.08,5.88,5.88,2.20,0,1
47.06,7.84,7.84,2.20,0,1
44.12,6.86,6.86,2.10,0,1
44.12,6.86,6.86,2.20,0,1
44.12,6.86,6.86,2.20,0,1
44.12,6.86,6.86,2.20,0,1
44.12,6.86,6.86,2.20,0,1
42.16,5.88,5.88,2.10,1,1
42.16,5.88,5.88,2.10,1,1
38.24,4.90,4.90,2.10,1,1
37.25,3.92,3.92,2.10,1,1
39.22,5.88,5.88,2.10,1,1
36.27,5.88,5.88,2.60,1,1
36.27,4.90,4.90,2.60,1,1
35.29,3.92,3.92,2.60,1,1
35.29,4.90,4.90,2.60,1,1
35.29,4.90,4.90,2.60,1,1
34.31,3.92,3.92,2.60,1,1
35.29,4.90,4.90,2.60,1,1
35.29,4.90,4.90,2.60,1,1
35.29,5.88,5.88,2.60,1,1
34.31,4.90,4.90,2.60,1,1
33.33,3.92,3.92,2.60,1,1
32.35,4.90,4.90,2.60,1,1
30.39,3.92,3.92,2.80,1,1
30.39,3.92,3.92,2.80,1,1
30.39,4.90,4.90,2.80,1,1
29.41,3.92,3.92,2.80,1,1
29.41,2.94,2.94,2.80,1,1
30.39,3.92,3.92,2.80,1,1
30.39,4.90,4.90,2.80,1,1
28.43,3.92,3.92,2.80,1,1
29.41,3.92,3.92,2.80,1,1
27.45,2.94,2.94,2.80,1,1
26.47,3.92,3.92,3.00,1,1
26.47,2.94,2.94,3.00,1,1
26.47,3.92,3.92,3.00,1,1
25.49,3.92,3.92,3.00,1,1
25.49,3.92,3.92,3.00,1,1
24.51,2.94,2.94,3.00,0,1
24.51,3.92,3.92,3.00,0,1
23.53,3.92,3.92,3.00,0,1
23.53,2.94,2.94,3.00,0,1
24.51,2.94,2.94,3.00,0,1
24.51,3.92,3.92,3.00,0,1
23.53,3.92,3.92,3.00,0,1
24.51,3.92,3.92,3.00,0,1
22.55,2.94,2.94,3.00,0,1
24.51,2.94,2.94,3.00,0,1
23.53,2.94,2.94,3.00,0,1
23.53,3.92,3.92,3.00,0,1
20.59,2.94,2.94,3.00,0,1
22.55,2.94,2.94,3.00,0,1
22.55,2.94,2.94,3.00,0,1
23.53,2.94,2.94,3.00,0,1
22.55,2.94,2.94,3.00,0,1
22.55,2.94,2.94,3.00,0,1
21.57,2.94,2.94,3.00,0,1
21.57,4.90,4.90,3.00,0,1
21.57,3.92,3.92,3.00,0,1
20.59,3.92,3.92,3.40,0,1
20.59,2.94,2.94,3.40,0,1
20.59,2.94,2.94,3.40,0,1
18.63,2.94,2.94,3.40,0,1
20.59,2.94,2.94,3.40,0,1
21.57,3.92,3.92,3.40,0,1
19.61,2.94,2.94,3.40,0,1
19.61,2.94,2.94,3.40,0,1
19.61,3.92,3.92,3.60,0,1
18.63,2.94,2.94,3.60,0,1
16.67,2.94,2.94,3.90,0,1
15.69,1.96,1.96,3.90,0,1
15.69,1.96,1.96,3.90,0,1
15.69,1.96,1.96,3.90,0,1
15.69,1.96,1.96,3.90,0,1
16.67,2.94,2.94,4.10,0,1
14.71,2.94,2.94,4.10,0,1
14.71,2.94,2.94,4.10,0,1
13.73,2.94,2.94,4.10,0,1
13.73,1.96,1.96,4.10,0,1
13.73,1.96,1.96,4.10,0,1
13.73,1.96,1.96,4.10,0,1
13.73,1.96,1.96,4.00,0,1
12.75,0.98,0.98,4.00,0,1
12.75,1.96,1.96,4.00,0,1
12.75,1.96,1.96,4.00,0,1
13.73,2.94,2.94,4.00,0,1
12.75,1.96,1.96,4.00,0,1
13.73,2.94,2.94,4.50,0,1
12.75,1.96,1.96,4.50,0,1
11.76,1.96,1.96,4.50,0,1
10.78,1.96,1.96,4.50,0,1
11.76,1.96,1.96,4.50,0,1
10.78,1.96,1.96,4.50,0,1
11.76,1.96,1.96,4.50,0,1
11.76,1.96,1.96,4.50,0,1
