Red,Blue,Yellow,Distance,Result,Expected
68.63,75.49,75.49,2.10,0,4
67.65,73.53,73.53,2.10,0,4
65.69,70.59,70.59,2.10,0,4
63.73,69.61,69.61,2.10,0,4
59.80,65.69,65.69,2.10,0,4
58.82,64.71,64.71,2.10,0,4
59.80,64.71,64.71,2.10,0,4
58.82,63.73,63.73,2.10,0,4
57.84,61.76,61.76,2.10,0,4
55.88,60.78,60.78,2.60,0,4
55.88,59.80,59.80,2.60,0,4
53.92,58.82,58.82,2.60,0,4
52.94,57.84,57.84,2.60,0,4
51.96,56.86,56.86,2.60,0,4
51.96,55.88,55.88,2.60,0,4
50.00,54.90,54.90,3.00,0,4
49.02,52.94,52.94,2.80,0,4
48.04,52.94,52.94,2.80,0,4
48.04,50.98,50.98,2.80,0,4
47.06,50.00,50.00,2.80,0,4
46.08,48.04,48.04,2.80,0,4
46.08,49.02,49.02,2.80,0,4
45.10,49.02,49.02,2.80,0,4
44.12,49.02,49.02,2.80,0,4
42.16,46.08,46.08,3.00,0,4
41.18,45.10,45.10,3.00,0,4
40.20,42.16,42.16,3.00,0,4
39.22,42.16,42.16,3.00,0,4
38.24,41.18,41.18,3.00,0,4
36.27,39.22,39.22,3.00,0,4
36.27,38.24,38.24,3.00,0,4
35.29,37.25,37.25,3.00,0,4
35.29,36.27,36.27,3.00,0,4
34.31,35.29,35.29,3.40,0,4
33.33,33.33,33.33,3.40,0,4
32.35,33.33,33.33,3.40,0,4
30.39,33.33,33.33,3.40,0,4
31.37,33.33,33.33,3.40,0,4
30.39,31.37,31.37,3.90,0,4
30.39,32.35,32.35,3.90,0,4
30.39,31.37,31.37,3.60,0,4
28.43,31.37,31.37,3.60,0,4
28.43,30.39,30.39,3.60,0,4
28.43,29.41,29.41,3.60,0,4
28.43,29.41,29.41,3.60,0,4
26.47,28.43,28.43,3.90,0,4
27.45,28.43,28.43,3.90,0,4
26.47,26.47,26.47,3.90,0,4
25.49,25.49,25.49,3.90,0,4
24.51,25.49,25.49,4.00,0,4
23.53,24.51,24.51,4.10,0,4
22.55,22.55,22.55,4.10,0,4
21.57,23.53,23.53,4.10,0,4
20.59,22.55,22.55,4.10,0,4
21.57,23.53,23.53,4.00,0,4
21.57,23.53,23.53,4.00,0,4
21.57,22.55,22.55,4.00,0,4
21.57,22.55,22.55,4.00,0,4
20.59,22.55,22.55,4.00,0,4
19.61,20.59,20.59,4.70,0,4
19.61,20.59,20.59,4.90,0,4
18.63,20.59,20.59,4.90,0,4
19.61,20.59,20.59,4.50,0,4
19.61,20.59,20.59,4.50,0,4
18.63,19.61,19.61,4.50,0,4
17.65,18.63,18.63,4.50,0,4
17.65,18.63,18.63,4.70,0,4
17.65,17.65,17.65,4.70,0,4
16.67,18.63,18.63,4.70,0,4
16.67,17.65,17.65,4.70,0,4
16.67,17.65,17.65,4.80,0,4
16.67,17.65,17.65,4.80,0,4
16.67,17.65,17.65,5.30,0,4
15.69,16.67,16.67,5.30,0,4
15.69,17.65,17.65,5.30,0,4
16.67,17.65,17.65,4.90,0,4
15.69,16.67,16.67,4.90,0,4
14.71,15.69,15.69,4.80,0,4
14.71,16.67,16.67,4.80,0,4
14.71,16.67,16.67,4.80,0,4
13.73,14.71,14.71,4.80,0,4
13.73,14.71,14.71,4.80,0,4
11.76,14.71,14.71,5.50,0,4
14.71,15.69,15.69,5.50,0,4
13.73,14.71,14.71,5.70,0,4
13.73,15.69,15.69,5.70,0,4
12.75,14.71,14.71,5.70,0,4
13.73,15.69,15.69,5.70,0,4
12.75,13.73,13.73,5.50,0,4
13.73,14.71,14.71,5.50,0,4
13.73,14.71,14.71,5.50,0,4
